appId,title,developer,score,ratings,reviews,installs,genre,url
fr.kwit.android,Kwit - Quit smoking for good!,Kwit SAS,4.21,19187,93,1705286,Health & Fitness,https://play.google.com/store/apps/details?id=fr.kwit.android&hl=en&gl=us
com.nusrApp.nusrApp.Sigarametre,Cigarette Counter and Tracker,Cattus,4.6039605,2557,85,229490,Health & Fitness,https://play.google.com/store/apps/details?id=com.nusrApp.nusrApp.Sigarametre&hl=en&gl=us
com.syedshahbazhussain.quitsmokingtracker,Quit Smoking Tracker,Syed Shahbaz Hussain,,,,27,Health & Fitness,https://play.google.com/store/apps/details?id=com.syedshahbazhussain.quitsmokingtracker&hl=en&gl=us
app.puffcounter.free.kwit.flamy.ecigtracker.quitvaping.smokefree.quitnow,Puff Counter - Quit Smoking,Quit Vaping Addiction,4.0588236,66,7,11145,Medical,https://play.google.com/store/apps/details?id=app.puffcounter.free.kwit.flamy.ecigtracker.quitvaping.smokefree.quitnow&hl=en&gl=us
net.offlinefirst.smoxy,Quit smoking cigarette - Smoxy,Offlinefirst LTD,3.9272728,897,21,210697,Health & Fitness,https://play.google.com/store/apps/details?id=net.offlinefirst.smoxy&hl=en&gl=us
stopSmokingDemo.team.geny,Qwit – Quit Smoking App,Norulab,4.56,11218,502,714778,Health & Fitness,https://play.google.com/store/apps/details?id=stopSmokingDemo.team.geny&hl=en&gl=us
com.theprojectfactory.quitbuddy,My QuitBuddy,Department of Health and Aged Care,4.65,2965,91,456284,Health & Fitness,https://play.google.com/store/apps/details?id=com.theprojectfactory.quitbuddy&hl=en&gl=us
com.franciscogaribay.quitsmokingalive,Quit Smoking Gradually: Alive,Francisco Garibay,4.42,1159,68,48214,Health & Fitness,https://play.google.com/store/apps/details?id=com.franciscogaribay.quitsmokingalive&hl=en&gl=us
com.burockgames.timeclocker,StayFree - Screen Time,ST Pulse,4.5569468,275343,5141,19877290,Productivity,https://play.google.com/store/apps/details?id=com.burockgames.timeclocker&hl=en&gl=us
com.mindefy.phoneaddiction.mobilepe,YourHour : Screen Time Control,Mindefy Labs,4.2217574,77025,1034,4492387,Productivity,https://play.google.com/store/apps/details?id=com.mindefy.phoneaddiction.mobilepe&hl=en&gl=us
com.screenzen,ScreenZen・Screen Time Control,screenzen,4.7254176,31285,1425,1143648,Productivity,https://play.google.com/store/apps/details?id=com.screenzen&hl=en&gl=us
phosphorus.app.usage.screen.time,Screen Time & Limits: Digitox,Digitox,4.43,13393,139,1293679,Productivity,https://play.google.com/store/apps/details?id=phosphorus.app.usage.screen.time&hl=en&gl=us
com.withopal.opal,Opal Screen Time Limit & Timer,Opal: The Focus Company,4.490196,7915,203,723958,Productivity,https://play.google.com/store/apps/details?id=com.withopal.opal&hl=en&gl=us
com.actiondash.playstore,ActionDash: Screen Time Helper,ST Pulse,4.3028955,68904,1299,6197390,Productivity,https://play.google.com/store/apps/details?id=com.actiondash.playstore&hl=en&gl=us
com.qqlabs.minimalistlauncher,minimalist phone® Screen Time,Focus Experts,4.6525955,50349,5364,8330506,Productivity,https://play.google.com/store/apps/details?id=com.qqlabs.minimalistlauncher&hl=en&gl=us
com.ascent,Ascent: screen time & offtime,Screen Time & Focus apps developers — AscentTeam,4.54,7923,222,592329,Productivity,https://play.google.com/store/apps/details?id=com.ascent&hl=en&gl=us
com.screentime.rc,Screen Time - Parental Control,Parental Control App by Screen Time Labs,3.0328798,49363,9354,4659277,Parenting,https://play.google.com/store/apps/details?id=com.screentime.rc&hl=en&gl=us
com.screen.time.tracker.parental.control,Screen time control App Usage,Vidpal Apps Studio,,,,244543,Productivity,https://play.google.com/store/apps/details?id=com.screen.time.tracker.parental.control&hl=en&gl=us
com.unrotapp.screencontrol,Untap: Screen Time Control,@Untap,4.352941,569,3,35497,Productivity,https://play.google.com/store/apps/details?id=com.unrotapp.screencontrol&hl=en&gl=us
com.hypenet.focused,blockit | stop phone addiction,Sgnoogle,4.42,22634,80,504704,Productivity,https://play.google.com/store/apps/details?id=com.hypenet.focused&hl=en&gl=us
de.markusfisch.android.screentime,Screen Time,Markus Fisch,4.3157897,227,15,51367,Tools,https://play.google.com/store/apps/details?id=de.markusfisch.android.screentime&hl=en&gl=us
tech.miidii.offscreen_android,OffScreen - Less Screen Time,Miidii Tech,3.173913,620,27,330605,Health & Fitness,https://play.google.com/store/apps/details?id=tech.miidii.offscreen_android&hl=en&gl=us
org.limitly.app,Limitly: Screen Time Tracker,Mikael tenshio,,,,371,Productivity,https://play.google.com/store/apps/details?id=org.limitly.app&hl=en&gl=us
